plant,fold,random_state
1,4,2026
2,1,2026
3,2,2026
4,2,2026
5,0,2026
6,0,2026
7,4,2026
8,0,2026
9,2,2026
10,0,2026
11,3,2026
12,3,2026
13,4,2026
14,2,2026
15,2,2026
16,0,2026
17,0,2026
18,2,2026
19,2,2026
20,2,2026
21,3,2026
22,2,2026
23,4,2026
24,2,2026
25,0,2026
26,1,2026
27,1,2026
28,2,2026
29,3,2026
30,0,2026
31,3,2026
32,1,2026
33,2,2026
34,4,2026
35,0,2026
36,0,2026
37,3,2026
38,3,2026
39,3,2026
40,2,2026
41,1,2026
42,1,2026
43,4,2026
44,1,2026
45,3,2026
46,3,2026
47,1,2026
48,3,2026
49,1,2026
50,4,2026
51,4,2026
52,2,2026
53,3,2026
54,0,2026
55,4,2026
56,4,2026
57,0,2026
58,2,2026
59,1,2026
60,2,2026
61,3,2026
62,4,2026
63,2,2026
64,2,2026
65,2,2026
66,0,2026
67,3,2026
68,2,2026
69,0,2026
70,0,2026
71,4,2026
72,3,2026
73,1,2026
74,4,2026
75,0,2026
76,3,2026
77,1,2026
78,1,2026
79,0,2026
80,4,2026
81,4,2026
82,2,2026
83,1,2026
84,4,2026
85,1,2026
86,0,2026
87,0,2026
88,2,2026
89,1,2026
90,4,2026
91,0,2026
92,4,2026
93,3,2026
94,0,2026
95,2,2026
96,3,2026
97,1,2026
98,2,2026
99,1,2026
100,4,2026
101,0,2026
