session,plant,date,bbch,cls,n_common_poses,pose,image_id_c1,relpath_c1,image_id_c2,relpath_c2,image_id_c3,relpath_c3,image_id_c4,relpath_c4
p001_20230816,1,20230816,70,4_S7,12,2,c1_p001_20230816_o02,data/data_0/pi1_00002_1_2_20230816154734.jpg,c2_p001_20230816_o02,data/data_0/pi2_00002_1_2_20230816154750.jpg,c3_p001_20230816_o02,data/data_0/pi3_00002_1_2_20230816154800.jpg,c4_p001_20230816_o02,data/data_0/pi4_00002_1_2_20230816154808.jpg
p001_20230921,1,20230921,79,4_S7,12,12,c1_p001_20230921_o12,data/data_3/pi1_00984_1_12_20230921150721.jpg,c2_p001_20230921_o12,data/data_3/pi2_00984_1_12_20230921150707.jpg,c3_p001_20230921_o12,data/data_3/pi3_00984_1_12_20230921150653.jpg,c4_p001_20230921_o12,data/data_3/pi4_00984_1_12_20230921150615.jpg
p001_20231005,1,20231005,87,5_S8,12,7,c1_p001_20231005_o07,data/data_7/pi1_01951_1_7_20231005094812.jpg,c2_p001_20231005_o07,data/data_7/pi2_01951_1_7_20231005094827.jpg,c3_p001_20231005_o07,data/data_7/pi3_01951_1_7_20231005094840.jpg,c4_p001_20231005_o07,data/data_7/pi4_01951_1_7_20231005094856.jpg
p002_20230816,2,20230816,68,3_S6,12,10,c1_p002_20230816_o10,data/data_0/pi1_00022_2_10_20230816154734.jpg,c2_p002_20230816_o10,data/data_0/pi2_00022_2_10_20230816154750.jpg,c3_p002_20230816_o10,data/data_0/pi3_00022_2_10_20230816154800.jpg,c4_p002_20230816_o10,data/data_0/pi4_00022_2_10_20230816154808.jpg
p002_20230921,2,20230921,77,4_S7,12,4,c1_p002_20230921_o04,data/data_3/pi1_00988_2_4_20230921150721.jpg,c2_p002_20230921_o04,data/data_3/pi2_00988_2_4_20230921150707.jpg,c3_p002_20230921_o04,data/data_3/pi3_00988_2_4_20230921150653.jpg,c4_p002_20230921_o04,data/data_3/pi4_00988_2_4_20230921150615.jpg
p002_20231005,2,20231005,79,4_S7,12,12,c1_p002_20231005_o12,data/data_7/pi1_01968_2_12_20231005094812.jpg,c2_p002_20231005_o12,data/data_7/pi2_01968_2_12_20231005094827.jpg,c3_p002_20231005_o12,data/data_7/pi3_01968_2_12_20231005094840.jpg,c4_p002_20231005_o12,data/data_7/pi4_01968_2_12_20231005094856.jpg
p003_20230816,3,20230816,64,3_S6,12,2,c1_p003_20230816_o02,data/data_0/pi1_00026_3_2_20230816154734.jpg,c2_p003_20230816_o02,data/data_0/pi2_00026_3_2_20230816154750.jpg,c3_p003_20230816_o02,data/data_0/pi3_00026_3_2_20230816154800.jpg,c4_p003_20230816_o02,data/data_0/pi4_00026_3_2_20230816154808.jpg
p003_20230921,3,20230921,77,4_S7,12,8,c1_p003_20230921_o08,data/data_4/pi1_01004_3_8_20230921150721.jpg,c2_p003_20230921_o08,data/data_4/pi2_01004_3_8_20230921150707.jpg,c3_p003_20230921_o08,data/data_4/pi3_01004_3_8_20230921150653.jpg,c4_p003_20230921_o08,data/data_4/pi4_01004_3_8_20230921150615.jpg
p003_20231005,3,20231005,79,4_S7,12,8,c1_p003_20231005_o08,data/data_7/pi1_01976_3_8_20231005094812.jpg,c2_p003_20231005_o08,data/data_7/pi2_01976_3_8_20231005094827.jpg,c3_p003_20231005_o08,data/data_7/pi3_01976_3_8_20231005094840.jpg,c4_p003_20231005_o08,data/data_7/pi4_01976_3_8_20231005094856.jpg
p004_20230816,4,20230816,61,3_S6,12,11,c1_p004_20230816_o11,data/data_0/pi1_00047_4_11_20230816154734.jpg,c2_p004_20230816_o11,data/data_0/pi2_00047_4_11_20230816154750.jpg,c3_p004_20230816_o11,data/data_0/pi3_00047_4_11_20230816154800.jpg,c4_p004_20230816_o11,data/data_0/pi4_00047_4_11_20230816154808.jpg
p004_20230921,4,20230921,79,4_S7,12,2,c1_p004_20230921_o02,data/data_4/pi1_01010_4_2_20230921150721.jpg,c2_p004_20230921_o02,data/data_4/pi2_01010_4_2_20230921150707.jpg,c3_p004_20230921_o02,data/data_4/pi3_01010_4_2_20230921150653.jpg,c4_p004_20230921_o02,data/data_4/pi4_01010_4_2_20230921150615.jpg
p004_20231005,4,20231005,82,5_S8,12,12,c1_p004_20231005_o12,data/data_7/pi1_01992_4_12_20231005094812.jpg,c2_p004_20231005_o12,data/data_7/pi2_01992_4_12_20231005094827.jpg,c3_p004_20231005_o12,data/data_7/pi3_01992_4_12_20231005094840.jpg,c4_p004_20231005_o12,data/data_7/pi4_01992_4_12_20231005094856.jpg
p005_20230816,5,20230816,65,3_S6,12,2,c1_p005_20230816_o02,data/data_0/pi1_00050_5_2_20230816154734.jpg,c2_p005_20230816_o02,data/data_0/pi2_00050_5_2_20230816154750.jpg,c3_p005_20230816_o02,data/data_0/pi3_00050_5_2_20230816154800.jpg,c4_p005_20230816_o02,data/data_0/pi4_00050_5_2_20230816154808.jpg
p005_20230921,5,20230921,77,4_S7,12,7,c1_p005_20230921_o07,data/data_4/pi1_01027_5_7_20230921150721.jpg,c2_p005_20230921_o07,data/data_4/pi2_01027_5_7_20230921150707.jpg,c3_p005_20230921_o07,data/data_4/pi3_01027_5_7_20230921150653.jpg,c4_p005_20230921_o07,data/data_4/pi4_01027_5_7_20230921150615.jpg
p005_20231005,5,20231005,79,4_S7,12,9,c1_p005_20231005_o09,data/data_8/pi1_02001_5_9_20231005094812.jpg,c2_p005_20231005_o09,data/data_8/pi2_02001_5_9_20231005094827.jpg,c3_p005_20231005_o09,data/data_8/pi3_02001_5_9_20231005094840.jpg,c4_p005_20231005_o09,data/data_8/pi4_02001_5_9_20231005094856.jpg
p006_20230816,6,20230816,65,3_S6,12,4,c1_p006_20230816_o04,data/data_0/pi1_00064_6_4_20230816154734.jpg,c2_p006_20230816_o04,data/data_0/pi2_00064_6_4_20230816154750.jpg,c3_p006_20230816_o04,data/data_0/pi3_00064_6_4_20230816154800.jpg,c4_p006_20230816_o04,data/data_0/pi4_00064_6_4_20230816154808.jpg
p006_20230921,6,20230921,78,4_S7,12,2,c1_p006_20230921_o02,data/data_4/pi1_01034_6_2_20230921150721.jpg,c2_p006_20230921_o02,data/data_4/pi2_01034_6_2_20230921150707.jpg,c3_p006_20230921_o02,data/data_4/pi3_01034_6_2_20230921150653.jpg,c4_p006_20230921_o02,data/data_4/pi4_01034_6_2_20230921150615.jpg
p006_20231005,6,20231005,79,4_S7,12,7,c1_p006_20231005_o07,data/data_8/pi1_02011_6_7_20231005094812.jpg,c2_p006_20231005_o07,data/data_8/pi2_02011_6_7_20231005094827.jpg,c3_p006_20231005_o07,data/data_8/pi3_02011_6_7_20231005094840.jpg,c4_p006_20231005_o07,data/data_8/pi4_02011_6_7_20231005094856.jpg
p007_20230816,7,20230816,67,3_S6,12,9,c1_p007_20230816_o09,data/data_0/pi1_00081_7_9_20230816154734.jpg,c2_p007_20230816_o09,data/data_0/pi2_00081_7_9_20230816154750.jpg,c3_p007_20230816_o09,data/data_0/pi3_00081_7_9_20230816154800.jpg,c4_p007_20230816_o09,data/data_0/pi4_00081_7_9_20230816154808.jpg
p007_20230921,7,20230921,80,5_S8,12,4,c1_p007_20230921_o04,data/data_4/pi1_01048_7_4_20230921150721.jpg,c2_p007_20230921_o04,data/data_4/pi2_01048_7_4_20230921150707.jpg,c3_p007_20230921_o04,data/data_4/pi3_01048_7_4_20230921150653.jpg,c4_p007_20230921_o04,data/data_4/pi4_01048_7_4_20230921150615.jpg
p007_20231005,7,20231005,83,5_S8,12,11,c1_p007_20231005_o11,data/data_8/pi1_02027_7_11_20231005094812.jpg,c2_p007_20231005_o11,data/data_8/pi2_02027_7_11_20231005094827.jpg,c3_p007_20231005_o11,data/data_8/pi3_02027_7_11_20231005094840.jpg,c4_p007_20231005_o11,data/data_8/pi4_02027_7_11_20231005094856.jpg
p008_20230816,8,20230816,63,3_S6,12,6,c1_p008_20230816_o06,data/data_0/pi1_00090_8_6_20230816154734.jpg,c2_p008_20230816_o06,data/data_0/pi2_00090_8_6_20230816154750.jpg,c3_p008_20230816_o06,data/data_0/pi3_00090_8_6_20230816154800.jpg,c4_p008_20230816_o06,data/data_0/pi4_00090_8_6_20230816154808.jpg
p008_20230921,8,20230921,73,4_S7,12,3,c1_p008_20230921_o03,data/data_4/pi1_01059_8_3_20230921150721.jpg,c2_p008_20230921_o03,data/data_4/pi2_01059_8_3_20230921150707.jpg,c3_p008_20230921_o03,data/data_4/pi3_01059_8_3_20230921150653.jpg,c4_p008_20230921_o03,data/data_4/pi4_01059_8_3_20230921150615.jpg
p008_20231005,8,20231005,76,4_S7,12,11,c1_p008_20231005_o11,data/data_8/pi1_02039_8_11_20231005094812.jpg,c2_p008_20231005_o11,data/data_8/pi2_02039_8_11_20231005094827.jpg,c3_p008_20231005_o11,data/data_8/pi3_02039_8_11_20231005094840.jpg,c4_p008_20231005_o11,data/data_8/pi4_02039_8_11_20231005094856.jpg
p009_20230816,9,20230816,64,3_S6,12,11,c1_p009_20230816_o11,data/data_0/pi1_00107_9_11_20230816154734.jpg,c2_p009_20230816_o11,data/data_0/pi2_00107_9_11_20230816154750.jpg,c3_p009_20230816_o11,data/data_0/pi3_00107_9_11_20230816154800.jpg,c4_p009_20230816_o11,data/data_0/pi4_00107_9_11_20230816154808.jpg
p009_20230921,9,20230921,75,4_S7,12,10,c1_p009_20230921_o10,data/data_4/pi1_01078_9_10_20230921150721.jpg,c2_p009_20230921_o10,data/data_4/pi2_01078_9_10_20230921150707.jpg,c3_p009_20230921_o10,data/data_4/pi3_01078_9_10_20230921150653.jpg,c4_p009_20230921_o10,data/data_4/pi4_01078_9_10_20230921150615.jpg
p009_20231005,9,20231005,84,5_S8,12,1,c1_p009_20231005_o01,data/data_8/pi1_02041_9_1_20231005094812.jpg,c2_p009_20231005_o01,data/data_8/pi2_02041_9_1_20231005094827.jpg,c3_p009_20231005_o01,data/data_8/pi3_02041_9_1_20231005094840.jpg,c4_p009_20231005_o01,data/data_8/pi4_02041_9_1_20231005094856.jpg
p010_20230816,10,20230816,64,3_S6,12,7,c1_p010_20230816_o07,data/data_0/pi1_00115_10_7_20230816154734.jpg,c2_p010_20230816_o07,data/data_0/pi2_00115_10_7_20230816154750.jpg,c3_p010_20230816_o07,data/data_0/pi3_00115_10_7_20230816154800.jpg,c4_p010_20230816_o07,data/data_0/pi4_00115_10_7_20230816154808.jpg
p010_20230921,10,20230921,72,4_S7,12,5,c1_p010_20230921_o05,data/data_4/pi1_01085_10_5_20230921150721.jpg,c2_p010_20230921_o05,data/data_4/pi2_01085_10_5_20230921150707.jpg,c3_p010_20230921_o05,data/data_4/pi3_01085_10_5_20230921150653.jpg,c4_p010_20230921_o05,data/data_4/pi4_01085_10_5_20230921150615.jpg
p010_20231005,10,20231005,85,5_S8,12,3,c1_p010_20231005_o03,data/data_8/pi1_02055_10_3_20231005094812.jpg,c2_p010_20231005_o03,data/data_8/pi2_02055_10_3_20231005094827.jpg,c3_p010_20231005_o03,data/data_8/pi3_02055_10_3_20231005094840.jpg,c4_p010_20231005_o03,data/data_8/pi4_02055_10_3_20231005094856.jpg
p011_20230816,11,20230816,27,1_S2,12,10,c1_p011_20230816_o10,data/data_0/pi1_00130_11_10_20230816154734.jpg,c2_p011_20230816_o10,data/data_0/pi2_00130_11_10_20230816154750.jpg,c3_p011_20230816_o10,data/data_0/pi3_00130_11_10_20230816154800.jpg,c4_p011_20230816_o10,data/data_0/pi4_00130_11_10_20230816154808.jpg
p011_20230921,11,20230921,51,2_S5,12,3,c1_p011_20230921_o03,data/data_4/pi1_01095_11_3_20230921150721.jpg,c2_p011_20230921_o03,data/data_4/pi2_01095_11_3_20230921150707.jpg,c3_p011_20230921_o03,data/data_4/pi3_01095_11_3_20230921150653.jpg,c4_p011_20230921_o03,data/data_4/pi4_01095_11_3_20230921150615.jpg
p011_20231005,11,20231005,52,2_S5,12,4,c1_p011_20231005_o04,data/data_8/pi1_02068_11_4_20231005094812.jpg,c2_p011_20231005_o04,data/data_8/pi2_02068_11_4_20231005094827.jpg,c3_p011_20231005_o04,data/data_8/pi3_02068_11_4_20231005094840.jpg,c4_p011_20231005_o04,data/data_8/pi4_02068_11_4_20231005094856.jpg
p012_20230816,12,20230816,65,3_S6,12,2,c1_p012_20230816_o02,data/data_0/pi1_00134_12_2_20230816154734.jpg,c2_p012_20230816_o02,data/data_0/pi2_00134_12_2_20230816154750.jpg,c3_p012_20230816_o02,data/data_0/pi3_00134_12_2_20230816154800.jpg,c4_p012_20230816_o02,data/data_0/pi4_00134_12_2_20230816154808.jpg
