image_id,relpath,camera,session,plant,date,pose,bbch,cls
c1_p001_20230816_o02,data/data_0/pi1_00002_1_2_20230816154734.jpg,1,p001_20230816,1,20230816,2,70,4_S7
c2_p001_20230816_o02,data/data_0/pi2_00002_1_2_20230816154750.jpg,2,p001_20230816,1,20230816,2,70,4_S7
c3_p001_20230816_o02,data/data_0/pi3_00002_1_2_20230816154800.jpg,3,p001_20230816,1,20230816,2,70,4_S7
c4_p001_20230816_o02,data/data_0/pi4_00002_1_2_20230816154808.jpg,4,p001_20230816,1,20230816,2,70,4_S7
c1_p001_20230921_o12,data/data_3/pi1_00984_1_12_20230921150721.jpg,1,p001_20230921,1,20230921,12,79,4_S7
c2_p001_20230921_o12,data/data_3/pi2_00984_1_12_20230921150707.jpg,2,p001_20230921,1,20230921,12,79,4_S7
c3_p001_20230921_o12,data/data_3/pi3_00984_1_12_20230921150653.jpg,3,p001_20230921,1,20230921,12,79,4_S7
c4_p001_20230921_o12,data/data_3/pi4_00984_1_12_20230921150615.jpg,4,p001_20230921,1,20230921,12,79,4_S7
c1_p001_20231005_o07,data/data_7/pi1_01951_1_7_20231005094812.jpg,1,p001_20231005,1,20231005,7,87,5_S8
c2_p001_20231005_o07,data/data_7/pi2_01951_1_7_20231005094827.jpg,2,p001_20231005,1,20231005,7,87,5_S8
c3_p001_20231005_o07,data/data_7/pi3_01951_1_7_20231005094840.jpg,3,p001_20231005,1,20231005,7,87,5_S8
c4_p001_20231005_o07,data/data_7/pi4_01951_1_7_20231005094856.jpg,4,p001_20231005,1,20231005,7,87,5_S8
c1_p002_20230816_o10,data/data_0/pi1_00022_2_10_20230816154734.jpg,1,p002_20230816,2,20230816,10,68,3_S6
c2_p002_20230816_o10,data/data_0/pi2_00022_2_10_20230816154750.jpg,2,p002_20230816,2,20230816,10,68,3_S6
c3_p002_20230816_o10,data/data_0/pi3_00022_2_10_20230816154800.jpg,3,p002_20230816,2,20230816,10,68,3_S6
c4_p002_20230816_o10,data/data_0/pi4_00022_2_10_20230816154808.jpg,4,p002_20230816,2,20230816,10,68,3_S6
