image_id,session,plant,fold,camera,bbch,cls,p_0_S1,p_1_S2,p_2_S5,p_3_S6,p_4_S7,p_5_S8,pred
c3_p005_20230816_o02,p005_20230816,5,0,3,65,3_S6,0.2867605,0.093702294,0.34841853,0.24653643,0.022890057,0.0016921735,2_S5
c3_p005_20230921_o07,p005_20230921,5,0,3,77,4_S7,0.24105169,0.049789693,0.12706792,0.2122432,0.3431165,0.026730986,4_S7
c3_p005_20231005_o09,p005_20231005,5,0,3,79,4_S7,0.39855376,0.04276672,0.094444014,0.026038311,0.37736744,0.060829762,0_S1
c3_p006_20230816_o04,p006_20230816,6,0,3,65,3_S6,0.017684672,0.049480908,0.097555004,0.6496877,0.17672361,0.008868059,3_S6
c3_p006_20230921_o02,p006_20230921,6,0,3,78,4_S7,0.00044154053,0.0031076155,0.0037387887,0.016045596,0.96592236,0.010744032,4_S7
c3_p006_20231005_o07,p006_20231005,6,0,3,79,4_S7,0.0010396725,0.010746237,0.0069555,0.023066694,0.920834,0.037357993,4_S7
c3_p008_20230816_o06,p008_20230816,8,0,3,63,3_S6,0.007557446,0.029690523,0.08777604,0.81675977,0.05705239,0.0011637532,3_S6
c3_p008_20230921_o03,p008_20230921,8,0,3,73,4_S7,0.0013573875,0.00826027,0.022593329,0.07830553,0.8815796,0.007903961,4_S7
c3_p008_20231005_o11,p008_20231005,8,0,3,76,4_S7,0.020249018,0.035547175,0.054127604,0.058937907,0.49905574,0.33208254,4_S7
c3_p010_20230816_o07,p010_20230816,10,0,3,64,3_S6,0.002438915,0.02175108,0.02982766,0.84119105,0.10262354,0.002167814,3_S6
c3_p010_20230921_o05,p010_20230921,10,0,3,72,4_S7,0.000840705,0.005158722,0.0076781134,0.04128604,0.92495865,0.020077879,4_S7
c3_p010_20231005_o03,p010_20231005,10,0,3,85,5_S8,0.28974855,0.08149925,0.13960017,0.057937063,0.022652047,0.4085629,5_S8
c3_p016_20230816_o05,p016_20230816,16,0,3,70,4_S7,0.0008077361,0.014492673,0.023393827,0.76486737,0.19505581,0.0013825155,3_S6
c3_p016_20230921_o12,p016_20230921,16,0,3,75,4_S7,0.0047333245,0.008300861,0.012114065,0.043485396,0.8941624,0.0372039,4_S7
c3_p016_20231005_o09,p016_20231005,16,0,3,77,4_S7,0.06694381,0.08220898,0.09081085,0.052508693,0.5117014,0.1958263,4_S7
c3_p017_20230816_o06,p017_20230816,17,0,3,71,4_S7,0.00013038145,0.003589991,0.0039770473,0.7630394,0.22884038,0.00042273855,3_S6
