session,plant,fold,bbch,cls,p_0_S1,p_1_S2,p_2_S5,p_3_S6,p_4_S7,p_5_S8,pred,camera
p005_20230816,5,0,65,3_S6,0.07236244335724999,0.03064827539775,0.330963213965,0.37339352,0.18855210974999997,0.0040804355625,3_S6,fusion
p005_20230921,5,0,77,4_S7,0.06186720334975,0.01532639715,0.038070300925,0.10590940625,0.7573047424999999,0.0215219802125,4_S7,fusion
p005_20231005,5,0,79,4_S7,0.09998288499315,0.0109332866435,0.03424796295,0.0077061193525000005,0.65530701,0.191822704675,4_S7,fusion
p006_20230816,6,0,65,3_S6,0.0067040925699999995,0.0249141978,0.048185803025,0.7820861725,0.134209138075,0.0039005670996,3_S6,fusion
p006_20230921,6,0,78,4_S7,0.0014798505116780626,0.00382064298705925,0.004119081729685,0.016822374390195002,0.72601179125,0.2477462700575,4_S7,fusion
p006_20231005,6,0,79,4_S7,0.00035967092312774994,0.003594642575258475,0.0038970659072512497,0.0058465763847423,0.4895442563625,0.49675784633965003,5_S8,fusion
p008_20230816,8,0,63,3_S6,0.002595690438695,0.0152350416575,0.0403524684125,0.8597221525000001,0.08077528538249999,0.001319368691055,3_S6,fusion
p008_20230921,8,0,73,4_S7,0.0010675333585499999,0.006187832199375,0.02557688195,0.062202993794500006,0.896046645,0.008918174675,4_S7,fusion
p008_20231005,8,0,76,4_S7,0.0052899478715,0.009578925227775,0.017939741665,0.01725053840611,0.41942628125,0.53051460535,5_S8,fusion
p010_20230816,10,0,64,3_S6,0.0006565737655129999,0.006208460387925,0.009405815338499999,0.925778355,0.0573032806206,0.00064750655520785,3_S6,fusion
p010_20230921,10,0,72,4_S7,0.00046948443624999993,0.00433738763,0.011585853925,0.02775128083,0.9419801875,0.013875794475,4_S7,fusion
p010_20231005,10,0,85,5_S8,0.0724427278962725,0.020509655866249997,0.035293247296525,0.014537971011499999,0.03706347125,0.8201529000000001,5_S8,fusion
p016_20230816,16,0,70,4_S7,0.00049517102252112,0.00891989057701708,0.012964785164329449,0.6813422675,0.2951682731979555,0.0011095960161545033,3_S6,fusion
p016_20230921,16,0,75,4_S7,0.00302448759568,0.00335008251615,0.009292642485750001,0.1410056532875,0.7561896524999999,0.08713751318,4_S7,fusion
p016_20231005,16,0,77,4_S7,0.016767068065002503,0.020993645076375002,0.023604691432499998,0.013366844867500002,0.69456637,0.230701391775,4_S7,fusion
p017_20230816,17,0,71,4_S7,3.304258715624999e-05,0.000912086789,0.0013803282536249998,0.882747975,0.1148125414,0.000114029162102875,3_S6,fusion
p017_20230921,17,0,74,4_S7,0.0006161024475649999,0.0052108519585,0.010285687208499998,0.13337509146150003,0.8377334,0.0127788627,4_S7,fusion
p017_20231005,17,0,72,4_S7,1.368975725e-05,0.0005366354455,0.00026695790000000005,0.00014711213,0.041556244,0.9574793350000002,5_S8,fusion
p025_20230828,25,0,16,0_S1,0.9741132849999999,0.007015257549999999,0.015142240835,0.0029238558714999997,0.00046072712299999996,0.00034458194175,0_S1,fusion
p025_20230904,25,0,22,1_S2,0.29833905675,0.1800656545,0.28263793409692495,0.1988069906216825,0.0374960711351,0.00265430918425,0_S1,fusion
p025_20230908,25,0,61,3_S6,0.002166641635,0.007835491192499999,0.02360989912625,0.941732135,0.0242946727025,0.00036119313012625,3_S6,fusion
p025_20230921,25,0,70,4_S7,0.005845544791271751,0.02658503204825,0.023193060354,0.3214527915,0.622105575,0.000817957671,4_S7,fusion
p025_20231006,25,0,72,4_S7,0.002693901462312825,0.0035082412632499995,0.031901874359499996,0.11192485411474999,0.8400801274999999,0.009891009136,4_S7,fusion
p025_20231017,25,0,75,4_S7,8.927078597500001e-07,0.000220139370875,0.000905634647,0.00095263042025,0.995537765,0.00238297447875,4_S7,fusion
p025_20231023,25,0,76,4_S7,6.300487228476e-05,0.0210157833268,0.0065971760697675,0.131777565037,0.8339838275,0.00656271158605,4_S7,fusion
p025_20231027,25,0,77,4_S7,0.00012136426607499999,0.00475016555,0.0095524982285,0.07035523131,0.726370035,0.18885068700000002,4_S7,fusion
p025_20231101,25,0,78,4_S7,0.00015167577719124998,0.26941264449999996,0.008480071109715,0.052730569921250005,0.64667614715,0.02254887767325,4_S7,fusion
p025_20231106,25,0,79,4_S7,0.00032296745621500004,0.0079586349925,0.00887753419925,0.033107305163,0.9301786875,0.019554819124999998,4_S7,fusion
p025_20231109,25,0,79,4_S7,6.351745975e-05,0.2629260221,0.002678229475,0.0058856452975000004,0.6589266475,0.069519919,4_S7,fusion
p025_20231120,25,0,81,5_S8,0.000269582548180875,0.01934465364143675,0.00850602417449,0.0019329425565664,0.2237798790805,0.74616695,5_S8,fusion
p025_20231124,25,0,81,5_S8,0.00021882589265,0.06782367504,0.0333857223875,0.000557185240075,0.089117483075,0.808897085,5_S8,fusion
p025_20231127,25,0,81,5_S8,4.8358032299999996e-05,0.0007998333999999999,0.0098950541175,0.00030077779309999996,0.1811643772,0.8077916199999999,5_S8,fusion
p025_20231130,25,0,81,5_S8,0.00116286321225,0.011260245524625,0.026343327865,0.0048208795008099995,0.072561403865,0.883851245,5_S8,fusion
p030_20230828,30,0,15,0_S1,0.91281795,0.030014448524999997,0.046832734325,0.008018391555,0.001191462611,0.0011250198375,0_S1,fusion
p030_20230904,30,0,53,2_S5,0.0888875076,0.12688111075,0.410912605,0.3516817475,0.01980263425,0.00183436531475,2_S5,fusion
p030_20230908,30,0,62,3_S6,0.0008316754925,0.008053405874999999,0.021515037499999997,0.8930574,0.075696690675,0.0008457963424999999,3_S6,fusion
p030_20230921,30,0,70,4_S7,7.830005092127499e-05,0.0030424426499500003,0.004015304911412499,0.162979304348175,0.8286121474999999,0.0012724722758850001,4_S7,fusion
