model,view,view_key,n_sessions,macro_f1,macro_f1_ci_lo,macro_f1_ci_hi,balanced_accuracy,balanced_accuracy_ci_lo,balanced_accuracy_ci_hi,accuracy,accuracy_ci_lo,accuracy_ci_hi,kappa,ordinal_mae,adjacent_error_share
yolo11n-cls,K1,1,1343,0.5816975232264682,0.549275829001356,0.6128580818551226,0.5761551226083499,0.5462338354856918,0.6091381823958611,0.77066269545793,0.73376527318835,0.8006143248980236,0.6712981467987162,0.30305286671630677,0.7467532467532467
yolo11n-cls,K2,2,1343,0.635997304459516,0.6041977437325776,0.6694705469898958,0.6297951890495193,0.5983603003911219,0.6644360698714735,0.8041697691734921,0.7707137026792493,0.8348891526364979,0.7234985776039554,0.26135517498138494,0.7338403041825095
yolo11n-cls,K3,3,1343,0.602221015388054,0.57314857669208,0.6317679777265238,0.6082166453972945,0.5813954537155247,0.63903387164364,0.7937453462397617,0.7593137640256609,0.8243375009241795,0.7110111591450223,0.27773641102010427,0.7184115523465704
yolo11n-cls,K4,4,1343,0.6247873486100701,0.5861695553608602,0.6658010009999652,0.6239009508964837,0.5882799339397192,0.6669722016076591,0.7862993298585257,0.7512800296780102,0.8183950953822702,0.7001602501769753,0.27699180938198065,0.759581881533101
yolo11n-cls,Füzyon (4K),fusion,1343,0.6442389696895374,0.612057018825354,0.6765054314701056,0.6432509139784017,0.6122251762515117,0.6786934172240239,0.8332092330603127,0.7957571302255205,0.8655471494358453,0.763885367865611,0.22561429635145197,0.7142857142857143
yolo26n-cls,K1,1,1343,0.6041205965242209,0.5633837670020504,0.6513859707814299,0.6004228579555667,0.560670002998905,0.6446604345008,0.763216679076694,0.7238942876619088,0.7981393632855512,0.664496616088017,0.31124348473566643,0.7547169811320755
yolo26n-cls,K2,2,1343,0.6217805589968054,0.59147084726426,0.6499753632203398,0.6211473965642371,0.589135921356792,0.654494120844774,0.7959791511541325,0.7600340764725728,0.8266482932180004,0.7115353108241478,0.27773641102010427,0.7116788321167883
yolo26n-cls,K3,3,1343,0.6211838674076248,0.5922878735627282,0.6488318478248364,0.6213112305043987,0.5936152911449526,0.6511028850989036,0.8071481757259866,0.773313285140376,0.8372614231000238,0.7289251599740332,0.2628443782576322,0.722007722007722
yolo26n-cls,K4,4,1343,0.6168005816031913,0.5860853425288919,0.6486417409395737,0.6182450001246416,0.5856590991748056,0.6533316453958091,0.7982129560685034,0.7634924254409174,0.8296265521526418,0.7160002996427697,0.2702903946388682,0.7121771217712177
yolo26n-cls,Füzyon (4K),fusion,1343,0.6531806078200904,0.6188155859123626,0.6866181243363831,0.6514366601721697,0.616084244609776,0.690388969144251,0.8346984363365599,0.7964380814256251,0.8677247340798742,0.7662280230615248,0.22338049143708116,0.7162162162162162
