model,view,macro_f1,balanced_accuracy,accuracy,kappa,ordinal_mae,adjacent_error_share
yolo11n-cls,K1,0.582 [0.549–0.613],0.576 [0.546–0.609],0.771 [0.734–0.801],0.671,0.303,0.747
yolo11n-cls,K2,0.636 [0.604–0.669],0.630 [0.598–0.664],0.804 [0.771–0.835],0.723,0.261,0.734
yolo11n-cls,K3,0.602 [0.573–0.632],0.608 [0.581–0.639],0.794 [0.759–0.824],0.711,0.278,0.718
yolo11n-cls,K4,0.625 [0.586–0.666],0.624 [0.588–0.667],0.786 [0.751–0.818],0.700,0.277,0.760
yolo11n-cls,Füzyon (4K),0.644 [0.612–0.677],0.643 [0.612–0.679],0.833 [0.796–0.866],0.764,0.226,0.714
yolo26n-cls,K1,0.604 [0.563–0.651],0.600 [0.561–0.645],0.763 [0.724–0.798],0.664,0.311,0.755
yolo26n-cls,K2,0.622 [0.591–0.650],0.621 [0.589–0.654],0.796 [0.760–0.827],0.712,0.278,0.712
yolo26n-cls,K3,0.621 [0.592–0.649],0.621 [0.594–0.651],0.807 [0.773–0.837],0.729,0.263,0.722
yolo26n-cls,K4,0.617 [0.586–0.649],0.618 [0.586–0.653],0.798 [0.763–0.830],0.716,0.270,0.712
yolo26n-cls,Füzyon (4K),0.653 [0.619–0.687],0.651 [0.616–0.690],0.835 [0.796–0.868],0.766,0.223,0.716
