model,view,fold,macro_f1,balanced_accuracy,accuracy
yolo11n-cls,K1,0,0.5978468484996738,0.5900835376859924,0.7781954887218046
yolo11n-cls,K1,1,0.612499194450241,0.6020369199683765,0.8171641791044776
yolo11n-cls,K1,2,0.5649138819187369,0.5616548860072887,0.7463768115942029
yolo11n-cls,K1,3,0.5211531533250947,0.5194914734388418,0.7258687258687259
yolo11n-cls,K1,4,0.6125057117632059,0.6099749011564937,0.7846715328467153
yolo11n-cls,K2,0,0.6480506817227715,0.638543485615464,0.8270676691729323
yolo11n-cls,K2,1,0.6535000132098907,0.6226730735604665,0.8022388059701493
yolo11n-cls,K2,2,0.6356912569926269,0.6272960420374608,0.782608695652174
yolo11n-cls,K2,3,0.6350042882227268,0.6522205864311128,0.803088803088803
yolo11n-cls,K2,4,0.613830215161608,0.6238204039257814,0.8065693430656934
yolo11n-cls,K3,0,0.5846056143738971,0.5911665892683159,0.8007518796992481
yolo11n-cls,K3,1,0.6099849773721555,0.6069707413036666,0.7947761194029851
yolo11n-cls,K3,2,0.5813302821740093,0.6158276125095348,0.7536231884057971
yolo11n-cls,K3,3,0.6073423980327746,0.610378413009992,0.803088803088803
yolo11n-cls,K3,4,0.6214229099280241,0.6269628784953211,0.8175182481751825
yolo11n-cls,K4,0,0.6101303289052997,0.6167960374846166,0.7857142857142857
yolo11n-cls,K4,1,0.5653330387945846,0.5661817782380818,0.746268656716418
yolo11n-cls,K4,2,0.6009032125557331,0.6072338333757098,0.7789855072463768
yolo11n-cls,K4,3,0.6660848110791983,0.6684081026186289,0.8301158301158301
yolo11n-cls,K4,4,0.6667443435862838,0.6727009562600398,0.791970802919708
yolo11n-cls,Füzyon (4K),0,0.6390090850276489,0.6368542053220647,0.8308270676691729
yolo11n-cls,Füzyon (4K),1,0.6275466717097758,0.6195581131321645,0.8283582089552238
yolo11n-cls,Füzyon (4K),2,0.6158194573517154,0.6282612933299433,0.8115942028985508
yolo11n-cls,Füzyon (4K),3,0.6552355345723516,0.6618853855695962,0.8416988416988417
yolo11n-cls,Füzyon (4K),4,0.6730744437516415,0.6795460569462753,0.8540145985401459
yolo26n-cls,K1,0,0.6362245779916463,0.6252601250000875,0.7706766917293233
yolo26n-cls,K1,1,0.593463618470739,0.5730793640830361,0.7798507462686567
yolo26n-cls,K1,2,0.6486925105532543,0.6446625137723535,0.7862318840579711
yolo26n-cls,K1,3,0.5535396847098496,0.566832290516501,0.7374517374517374
yolo26n-cls,K1,4,0.5844868698129567,0.6139273171595351,0.7408759124087592
yolo26n-cls,K2,0,0.630149869717339,0.6318802230753552,0.8195488721804511
yolo26n-cls,K2,1,0.6402712966163536,0.6398961775338764,0.8171641791044776
yolo26n-cls,K2,2,0.634971616235495,0.6261564539367742,0.7753623188405797
yolo26n-cls,K2,3,0.5710177923033755,0.5761137011137011,0.7567567567567568
yolo26n-cls,K2,4,0.6298369921956695,0.6425061302683628,0.8102189781021898
yolo26n-cls,K3,0,0.5975916293426461,0.6172718096995192,0.8007518796992481
yolo26n-cls,K3,1,0.6416274373125733,0.6463447926116225,0.8246268656716418
yolo26n-cls,K3,2,0.5954255570029079,0.5992907026019153,0.7753623188405797
yolo26n-cls,K3,3,0.5980587184939927,0.5948196540301803,0.806949806949807
yolo26n-cls,K3,4,0.6491550846814004,0.6599100973033397,0.8284671532846716
yolo26n-cls,K4,0,0.6360224771769764,0.6433062859368247,0.8270676691729323
yolo26n-cls,K4,1,0.5647693970274615,0.5499087362612455,0.7798507462686567
yolo26n-cls,K4,2,0.6150551061841384,0.6379595728451563,0.7753623188405797
yolo26n-cls,K4,3,0.6252090733412129,0.6170459657301762,0.803088803088803
yolo26n-cls,K4,4,0.6341797423576476,0.6501931363225992,0.8065693430656934
yolo26n-cls,Füzyon (4K),0,0.6570324726951232,0.6604482695339778,0.849624060150376
yolo26n-cls,Füzyon (4K),1,0.609685403002229,0.5960122428910679,0.8059701492537313
yolo26n-cls,Füzyon (4K),2,0.6888527536866963,0.680358928722773,0.8369565217391305
yolo26n-cls,Füzyon (4K),3,0.6457814719814744,0.6476062923431345,0.8378378378378378
yolo26n-cls,Füzyon (4K),4,0.6658129489047364,0.6799671460086755,0.843065693430657
