model,view,sinif,precision,recall,f1,support
yolo11n-cls,K1,S1,0.8425925925925926,0.9285714285714286,0.883495145631068,196
yolo11n-cls,K1,S2,0.0,0.0,0.0,29
yolo11n-cls,K1,S5,0.38095238095238093,0.32989690721649484,0.35359116022099446,97
yolo11n-cls,K1,S6,0.697560975609756,0.65,0.6729411764705883,220
yolo11n-cls,K1,S7,0.8060781476121563,0.911620294599018,0.8556067588325653,611
yolo11n-cls,K1,S8,0.8402777777777778,0.6368421052631579,0.7245508982035929,190
yolo11n-cls,K2,S1,0.9123711340206185,0.9030612244897959,0.9076923076923077,196
yolo11n-cls,K2,S2,0.08333333333333333,0.034482758620689655,0.04878048780487805,29
yolo11n-cls,K2,S5,0.4659090909090909,0.422680412371134,0.44324324324324327,97
yolo11n-cls,K2,S6,0.7079646017699115,0.7272727272727273,0.7174887892376681,220
yolo11n-cls,K2,S7,0.8489984591679507,0.9018003273322422,0.8746031746031746,611
yolo11n-cls,K2,S8,0.8620689655172413,0.7894736842105263,0.8241758241758241,190
yolo11n-cls,K3,S1,0.801762114537445,0.9285714285714286,0.8605200945626478,196
yolo11n-cls,K3,S2,0.0,0.0,0.0,29
yolo11n-cls,K3,S5,0.37662337662337664,0.29896907216494845,0.3333333333333333,97
yolo11n-cls,K3,S6,0.6885964912280702,0.7136363636363636,0.7008928571428571,220
yolo11n-cls,K3,S7,0.8727858293075684,0.8870703764320785,0.8798701298701299,611
yolo11n-cls,K3,S8,0.8571428571428571,0.8210526315789474,0.8387096774193549,190
yolo11n-cls,K4,S1,0.895,0.9132653061224489,0.9040404040404041,196
yolo11n-cls,K4,S2,0.1111111111111111,0.034482758620689655,0.05263157894736842,29
yolo11n-cls,K4,S5,0.4574468085106383,0.44329896907216493,0.450261780104712,97
yolo11n-cls,K4,S6,0.68,0.6954545454545454,0.6876404494382022,220
yolo11n-cls,K4,S7,0.8412698412698413,0.867430441898527,0.8541498791297341,611
yolo11n-cls,K4,S8,0.8108108108108109,0.7894736842105263,0.8,190
yolo11n-cls,Füzyon (4K),S1,0.8720379146919431,0.9387755102040817,0.9041769041769042,196
yolo11n-cls,Füzyon (4K),S2,0.0,0.0,0.0,29
yolo11n-cls,Füzyon (4K),S5,0.46987951807228917,0.4020618556701031,0.43333333333333335,97
yolo11n-cls,Füzyon (4K),S6,0.7579908675799086,0.7545454545454545,0.7562642369020501,220
yolo11n-cls,Füzyon (4K),S7,0.877488514548239,0.9378068739770867,0.9066455696202531,611
yolo11n-cls,Füzyon (4K),S8,0.9075144508670521,0.8263157894736842,0.8650137741046832,190
yolo26n-cls,K1,S1,0.883248730964467,0.8877551020408163,0.8854961832061069,196
yolo26n-cls,K1,S2,0.3333333333333333,0.034482758620689655,0.0625,29
yolo26n-cls,K1,S5,0.4339622641509434,0.4742268041237113,0.45320197044334976,97
yolo26n-cls,K1,S6,0.6935483870967742,0.5863636363636363,0.6354679802955665,220
yolo26n-cls,K1,S7,0.803921568627451,0.8723404255319149,0.8367346938775511,611
yolo26n-cls,K1,S8,0.7553191489361702,0.7473684210526316,0.7513227513227513,190
yolo26n-cls,K2,S1,0.8743718592964824,0.8877551020408163,0.8810126582278481,196
yolo26n-cls,K2,S2,0.0,0.0,0.0,29
yolo26n-cls,K2,S5,0.4536082474226804,0.4536082474226804,0.4536082474226804,97
yolo26n-cls,K2,S6,0.7086956521739131,0.740909090909091,0.7244444444444444,220
yolo26n-cls,K2,S7,0.837173579109063,0.8919803600654664,0.8637083993660856,611
yolo26n-cls,K2,S8,0.8719512195121951,0.7526315789473684,0.807909604519774,190
yolo26n-cls,K3,S1,0.8647342995169082,0.9132653061224489,0.8883374689826302,196
yolo26n-cls,K3,S2,0.0,0.0,0.0,29
yolo26n-cls,K3,S5,0.4246575342465753,0.31958762886597936,0.36470588235294116,97
yolo26n-cls,K3,S6,0.6627450980392157,0.7681818181818182,0.7115789473684211,220
yolo26n-cls,K3,S7,0.8696343402225755,0.8952536824877251,0.882258064516129,611
yolo26n-cls,K3,S8,0.9349112426035503,0.8315789473684211,0.8802228412256268,190
yolo26n-cls,K4,S1,0.8861386138613861,0.9132653061224489,0.8994974874371859,196
yolo26n-cls,K4,S2,0.0,0.0,0.0,29
yolo26n-cls,K4,S5,0.4,0.3711340206185567,0.3850267379679144,97
yolo26n-cls,K4,S6,0.7043478260869566,0.7363636363636363,0.72,220
yolo26n-cls,K4,S7,0.8524332810047096,0.8887070376432079,0.8701923076923077,611
yolo26n-cls,K4,S8,0.8539325842696629,0.8,0.8260869565217391,190
yolo26n-cls,Füzyon (4K),S1,0.89,0.9081632653061225,0.898989898989899,196
yolo26n-cls,Füzyon (4K),S2,0.0,0.0,0.0,29
yolo26n-cls,Füzyon (4K),S5,0.5116279069767442,0.4536082474226804,0.4808743169398907,97
yolo26n-cls,Füzyon (4K),S6,0.7565217391304347,0.7909090909090909,0.7733333333333333,220
yolo26n-cls,Füzyon (4K),S7,0.8738461538461538,0.9296235679214403,0.9008723235527359,611
yolo26n-cls,Füzyon (4K),S8,0.9075144508670521,0.8263157894736842,0.8650137741046832,190
