family,A,B,macro_f1_A,macro_f1_B,d_macro_f1(B-A),d_macro_f1_ci_lo,d_macro_f1_ci_hi,p_boot,balanced_accuracy_A,balanced_accuracy_B,d_balanced_accuracy(B-A),d_balanced_accuracy_ci_lo,d_balanced_accuracy_ci_hi,p_boot_at_floor,p_holm,significant_0.05
yolo11n-cls: kamera çiftleri,yolo11n-cls K1,yolo11n-cls K2,0.5816975232264682,0.635997304459516,0.054299781233047795,0.023746754410908174,0.08923740419348616,0.0005,0.5761551226083499,0.6297951890495193,0.053640066441169365,0.024262433700146767,0.08778631292422179,True,0.003,True
yolo11n-cls: kamera çiftleri,yolo11n-cls K1,yolo11n-cls K3,0.5816975232264682,0.602221015388054,0.020523492161585777,-0.004202446410288554,0.04686754942565835,0.108,0.5761551226083499,0.6082166453972945,0.032061522788944585,0.008248744790062703,0.05719831705109296,False,0.324,False
yolo11n-cls: kamera çiftleri,yolo11n-cls K1,yolo11n-cls K4,0.5816975232264682,0.6247873486100701,0.043089825383601954,0.013206452295098476,0.07740601777040944,0.003,0.5761551226083499,0.6239009508964837,0.047745828288133785,0.01922505266182461,0.08026475997227613,False,0.015,True
yolo11n-cls: kamera çiftleri,yolo11n-cls K2,yolo11n-cls K3,0.635997304459516,0.602221015388054,-0.03377628907146202,-0.06425401844753534,-0.007785092655783477,0.014,0.6297951890495193,0.6082166453972945,-0.02157854365222478,-0.05034973700571105,0.003197207596905552,False,0.056,False
yolo11n-cls: kamera çiftleri,yolo11n-cls K2,yolo11n-cls K4,0.635997304459516,0.6247873486100701,-0.01120995584944584,-0.047366510937956637,0.027793995422433833,0.524,0.6297951890495193,0.6239009508964837,-0.00589423815303558,-0.03768066747558458,0.029506030197622407,False,0.524,False
yolo11n-cls: kamera çiftleri,yolo11n-cls K3,yolo11n-cls K4,0.602221015388054,0.6247873486100701,0.022566333222016177,-0.012148848920149178,0.056964052491549656,0.206,0.6082166453972945,0.6239009508964837,0.0156843054991892,-0.015559884039538906,0.048615204357879964,False,0.412,False
yolo26n-cls: kamera çiftleri,yolo26n-cls K1,yolo26n-cls K2,0.6041205965242209,0.6217805589968054,0.0176599624725845,-0.019923744669814076,0.04962604255710681,0.322,0.6004228579555667,0.6211473965642371,0.020724538608670406,-0.01278055142332549,0.05146273593070491,False,1.0,False
yolo26n-cls: kamera çiftleri,yolo26n-cls K1,yolo26n-cls K3,0.6041205965242209,0.6211838674076248,0.01706327088340387,-0.023670923662126756,0.051998993504821026,0.376,0.6004228579555667,0.6213112305043987,0.020888372548832024,-0.016605502379135835,0.053918168655211395,False,1.0,False
yolo26n-cls: kamera çiftleri,yolo26n-cls K1,yolo26n-cls K4,0.6041205965242209,0.6168005816031913,0.01267998507897039,-0.027680476331576172,0.04536122013159485,0.489,0.6004228579555667,0.6182450001246416,0.01782214216907485,-0.017941752750180995,0.047145957006872574,False,1.0,False
yolo26n-cls: kamera çiftleri,yolo26n-cls K2,yolo26n-cls K3,0.6217805589968054,0.6211838674076248,-0.0005966915891806313,-0.024942204354113807,0.022480961241088573,0.972,0.6211473965642371,0.6213112305043987,0.00016383394016161734,-0.025185207991129797,0.02348584290383876,False,1.0,False
yolo26n-cls: kamera çiftleri,yolo26n-cls K2,yolo26n-cls K4,0.6217805589968054,0.6168005816031913,-0.00497997739361411,-0.03238692968148066,0.0218318912405177,0.765,0.6211473965642371,0.6182450001246416,-0.002902396439595556,-0.032720510128998015,0.025205539033951032,False,1.0,False
yolo26n-cls: kamera çiftleri,yolo26n-cls K3,yolo26n-cls K4,0.6211838674076248,0.6168005816031913,-0.004383285804433479,-0.028928859972551072,0.019576275387936635,0.718,0.6213112305043987,0.6182450001246416,-0.0030662303797571733,-0.028361604695118725,0.024871694245963076,False,1.0,False
