epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,1.85078,1.4469,0.56015,0.99248,0.96026,0.000307692,0.000307692,0.000307692
2,3.54698,0.84544,0.71429,1,0.81444,0.000628333,0.000628333,0.000628333
3,4.98855,0.63549,0.71805,1,1.02712,0.000935774,0.000935774,0.000935774
4,6.67538,0.62117,0.71053,1,0.71678,0.0009406,0.0009406,0.0009406
5,8.55852,0.54558,0.77444,1,0.74618,0.0009208,0.0009208,0.0009208
6,10.0746,0.46897,0.82331,1,0.74543,0.000901,0.000901,0.000901
7,11.5795,0.48263,0.74436,1,0.71469,0.0008812,0.0008812,0.0008812
8,12.8974,0.39912,0.55639,1,1.86127,0.0008614,0.0008614,0.0008614
9,14.2728,0.36463,0.79699,1,0.70342,0.0008416,0.0008416,0.0008416
10,15.6056,0.36558,0.79699,1,0.53472,0.0008218,0.0008218,0.0008218
11,17.0535,0.31472,0.77068,1,0.88574,0.000802,0.000802,0.000802
12,18.4812,0.34379,0.73684,1,0.65767,0.0007822,0.0007822,0.0007822
13,19.7844,0.3339,0.80451,1,0.60234,0.0007624,0.0007624,0.0007624
14,21.1025,0.32907,0.78571,1,0.72689,0.0007426,0.0007426,0.0007426
15,22.5389,0.29323,0.71053,1,0.94924,0.0007228,0.0007228,0.0007228
16,23.9456,0.28953,0.7594,1,1.00331,0.000703,0.000703,0.000703
17,25.4993,0.24297,0.76316,1,0.82668,0.0006832,0.0006832,0.0006832
18,26.8551,0.24127,0.78571,1,0.64171,0.0006634,0.0006634,0.0006634
19,28.166,0.23754,0.81203,0.98872,1.07858,0.0006436,0.0006436,0.0006436
20,29.5285,0.23834,0.76692,1,0.83203,0.0006238,0.0006238,0.0006238
21,30.853,0.20414,0.77444,1,0.9744,0.000604,0.000604,0.000604
